FIELD FIELD_NAME
C165 [行動]語音發話網外對象數
C166 [行動]語音發話市話對象數
C167 [行動]語音發話國際對象數
C168 [行動]語音發話競業A對象數
C169 [行動]語音發話競業B對象數
C170 [行動]語音發話競業C對象數
C171 [行動]語音發話競業D對象數
C172 [行動]語音發話網內對象數比例
C173 [行動]語音發話熱線對象數比例
C174 [行動]語音發話網外對象數比例
C175 [行動]語音發話市話對象數比例
C176 [行動]語音發話國際對象數比例
C177 [行動]語音發話加值對象數比例
C178 [行動]語音發話競業A對象數比例
C179 [行動]語音發話競業B對象數比例
C180 [行動]語音發話競業C對象數比例
C181 [行動]語音發話競業D對象數比例
C182 [行動]發話對象數
C183 [行動]中華行動發話對象數
C184 [行動]非中華行動發話對象數
C185 [行動]市話發話對象數
C186 [行動]國際發話對象數
C187 [行動]語音受話總分鐘數
C188 [行動]語音受話網內分鐘數
C189 [行動]語音受話網外分鐘數
C190 [行動]語音受話市話分鐘數
C191 [行動]語音受話網內分鐘數比例
C192 [行動]語音受話網外分鐘數比例
C193 [行動]語音受話市話分鐘數比例
C194 [行動]語音發話總次數
C195 [行動]語音發話網內次數
C196 [行動]語音發話熱線次數
C197 [行動]語音發話網外次數
C198 [行動]語音發話市話次數
C199 [行動]語音發話國際次數
C200 [行動]語音發話競業A次數
C201 [行動]語音發話競業B次數
C202 [行動]語音發話競業C次數
C203 [行動]語音發話競業D次數
C204 [行動]語音受話總次數
C205 [行動]語音受話網內次數
C206 [行動]語音受話網外次數
C207 [行動]語音受話市話次數
C208 [行動]最常發話電信業者
C209 [行動]曾經發話基站數
C210 [行動]批價簡訊次數
C211 [行動]批價數據連線次數
C212 [行動]數據上傳MB
C213 [行動]數據上傳MB比例
C214 [行動]行動數據次數
C215 [行動]行動數據流量
