YM		行為年月
SUBSCTN_ID	設備號
HM_CITY_CD	家戶城市
HM_DSTRCT_CD	家戶行政區
VILLAGE_CD	家戶巷弄
HM_LNG	家戶經度
HM_LAT	家戶緯度
HM_ACCS_MTHD_CNT	家戶設備數
HM_MOBILE_CNT	家戶行動數
HM_MOD_CNT	家戶MOD數
HM_PSTN_CNT	家戶市話數
HM_W_CNT	家戶W專線數
HM_Y_CNT	家戶Y專線數
HM_HiNet_CNT	家戶HN數
HM_PARTY_CNT	家戶證號數
