YM	SUBSCTN_ID	SUBSCTN_START_DT	NP_IN	TENURE	DT1_DATA_RTD_DUR	DT1_DATA_RTD_DWN_PACK	DT1_DATA_RTD_UP_PACK	DT1_DATA_RTD_CNT	DT2_DATA_RTD_DUR	DT2_DATA_RTD_DWN_PACK	DT2_DATA_RTD_UP_PACK	DT2_DATA_RTD_CNT	DT3_DATA_RTD_DUR	DT3_DATA_RTD_DWN_PACK	DT3_DATA_RTD_UP_PACK	DT3_DATA_RTD_CNT	VO1_MIN	VO1_CNT	VO1_PTYCNT	VO1_CHTMIN	VO1_TWMMIN	VO1_FETMIN	VO1_CHTCNT	VO1_TWMCNT	VO1_FETCNT	VO1_CHTPTYCNT	VO1_TWMPTYCNT	VO1_FETPTYCNT	VO2_MIN	VO2_CNT	VO2_PTYCNT	VO2_CHTMIN	VO2_TWMMIN	VO2_FETMIN	VO2_CHTCNT	VO2_TWMCNT	VO2_FETCNT	VO2_CHTPTYCNT	VO2_TWMPTYCNT	VO2_FETPTYCNT	VO3_MIN	VO3_CNT	VO3_PTYCNT	VO3_CHTMIN	VO3_TWMMIN	VO3_FETMIN	VO3_CHTCNT	VO3_TWMCNT	VO3_FETCNT	VO3_CHTPTYCNT	VO3_TWMPTYCNT	VO3_FETPTYCNT	SMS1_CNT	SMS2_CNT	SMS3_CNT	TENURE_MONTH_CNT	PREPAID_IND	GENDER_TYPE_CD	SUBSCTN_AGE	NTW_SERVICE_TYPE_CD	OFFER_SERVICE_TYPE_CD	OFFER_ID	BRANCH_CHANNEL_ID	SC_CHANNEL_ID	AGENT_CHANNEL_ID	MPRO_MEMBER_IND	NP_IN_IND	NP_FROM_CARRIER_CD	NP_OUT_IND	NP_TO_CARRIER_CD	HANDSET_RETN_CONTR_IND	HANDSET_CONTR_EXP_MONTH_CNT	HIST_HANDSET_CONTR_CNT	HIST_HANDSET_PURCHASE_CNT	AVG_HANDSET_PURCHASE_AMT	LAST_HANDSET_PURCHASE_AMT	OFFER_2GTO3G_IND	OFFER_3GTO2G_IND	OFFER_2GTO4G_IND	OFFER_3GTO4G_IND	OFFER_4GTO2G_IND	OFFER_4GTO3G_IND	VB1_TOT_PTYCNT	VB1_TOT_CNT	VB1_TOT_DUR	VB1_TWM_PTYCNT	VB1_TWM_CNT	VB1_TWM_DUR	VB1_FET_PTYCNT	VB1_FET_CNT	VB1_FET_DUR	VB1_VBT_PTYCNT	VB1_VBTCNT	VB1_VBTDUR	VB1_APW_PTYCNT	VB1_APW_CNT	VB1_APW_DUR	VB2_TOT_PTYCNT	VB2_TOT_CNT	VB2_TOT_DUR	VB2_TWM_PTYCNT	VB2_TWM_CNT	VB2_TWM_DUR	VB2_FET_PTYCNT	VB2_FET_CNT	VB2_FET_DUR	VB2_VBT_PTYCNT	VB2_VBTCNT	VB2_VBTDUR	VB2_APW_PTYCNT	VB2_APW_CNT	VB2_APW_DUR	VB3_TOT_PTYCNT	VB3_TOT_CNT	VB3_TOT_DUR	VB3_TWM_PTYCNT	VB3_TWM_CNT	VB3_TWM_DUR	VB3_FET_PTYCNT	VB3_FET_CNT	VB3_FET_DUR	VB3_VBT_PTYCNT	VB3_VBTCNT	VB3_VBTDUR	VB3_APW_PTYCNT	VB3_APW_CNT	VB3_APW_DUR
201603	205434967	2008/4/2	台哥大	96	30541.80	2102669437.140625	542363920.945313	691.00	35254.58	972147337.492188	388978857.820313	437.00	37107.93	158308957.367188	10347924.718750	214.00	0.23	20.00	5	0.13	0.00	?	11.00	1.00	?	4	1	?	1.27	42.00	8	1.14	0.09	?	33.00	5.00	?	7	1	?	1.19	22.00	7	0.96	0.01	?	16.00	2.00	?	4	1	?	?	?	1.00	96	N	1	22	J	K	A005	49	4989	?	N	N	?	Y	TW4	N	0	2	2	7295.00	13600.00	Y	N	N	Y	N	N	4	5.00	2.10	1	1.00	0.85	0	?	?	1	1.00	0.02	2	3.00	1.23	2	3.00	1.00	1	2.00	0.80	0	?	?	1	1.00	0.20	0	?	?	4	3.00	4.88	2	2.00	3.90	1	1.00	0.98	0	?	?	1	?	0.00
201603	205626050	2008/12/2	遠傳	88	13333.53	51046901.773438	3218373.718750	365.00	16173.83	81219153.453125	2957433.695313	407.00	16292.57	86942717.835938	3890754.914063	332.00	0.62	47.00	25	0.30	0.06	0.18	18.00	6.00	11.00	10	5	6	0.58	54.00	20	0.11	0.16	0.11	18.00	9.00	9.00	6	6	5	0.47	37.00	17	0.04	0.02	0.20	10.00	2.00	9.00	4	2	6	?	?	?	88	N	2	43	D	5	5	41	43	?	N	N	?	Y	YZT	N	-1	2	2	195.00	390.00	Y	N	N	N	N	N	18	31.00	36.07	8	18.00	22.86	9	12.00	12.69	0	?	?	0	?	?	21	41.00	54.77	9	17.00	30.97	9	17.00	13.36	2	6.00	6.21	1	1.00	4.23	24	40.00	27.30	6	12.00	7.18	14	23.00	18.13	3	4.00	1.12	1	1.00	0.87
201603	11320470	2010/8/2	遠傳	68	15272.88	45877676.601563	4439536.562500	411.00	17024.27	160340341.781250	10883588.796875	601.00	15682.48	108019047.664063	17198221.515625	471.00	0.24	20.00	12	0.12	0.06	?	11.00	6.00	?	7	2	?	0.18	7.00	2	0.03	?	?	2.00	?	?	2	?	?	0.13	8.00	6	0.01	0.01	0.00	2.00	1.00	1.00	2	1	1	?	2.00	?	68	N	2	44	D	5	5	2422	?	?	N	N	?	Y	FE4	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	3	4.00	15.30	0	?	?	1	1.00	12.12	0	?	?	2	3.00	3.18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	3	4.00	4.13	1	1.00	0.93	1	1.00	0.42	0	?	?	1	2.00	2.78
201603	406874627	2013/1/3	台哥大	39	19775.70	65608415.210938	3182494.898438	225.00	29761.63	16894058.742188	1687771.062500	214.00	28157.40	26581510.789063	2467569.492188	251.00	0.18	21.00	6	0.03	0.06	?	5.00	11.00	?	2	1	?	0.25	27.00	6	0.18	0.01	0.01	15.00	2.00	3.00	2	2	1	0.10	14.00	4	0.02	0.02	?	2.00	4.00	?	1	1	?	8.00	?	2.00	39	N	2	24	D	5	S	71	72	SC	N	Y	TW3	Y	TW4	N	0	2	2	8150.00	16300.00	?	?	?	?	?	?	5	18.00	24.52	3	12.00	23.09	1	6.00	1.43	0	?	?	0	?	?	5	30.00	23.87	2	12.00	11.80	1	16.00	12.00	1	?	0.00	1	2.00	0.07	5	6.00	2.07	3	4.00	1.27	2	2.00	0.80	0	?	?	0	?	?
201603	8139634	2006/1/27	台哥大	123	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0.00	1.00	1	0.00	?	?	1.00	?	?	1	?	?	0.01	5.00	1	?	0.01	0.01	?	2.00	3.00	?	1	1	1.00	?	?	123	N	2	33	D	5	5	29	2973	?	N	N	?	Y	TW4	N	-1	2	2	3390.00	4790.00	Y	N	N	N	N	N	1	1.00	6.65	1	1.00	6.65	0	?	?	0	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2	3.00	15.49	1	2.00	0.82	1	1.00	14.67	0	?	?	0	?	?
201603	408144693	2016/2/13	遠傳	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	N	2	29	M	M	5	6	6j	?	N	N	?	Y	FE4	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
201603	14661445	2013/12/23	遠傳	27	5056.75	979909.882813	184652.218750	88.00	5758.08	772764.281250	187328.960938	84.00	6441.53	699864.539063	169988.218750	82.00	1.54	45.00	14	0.91	0.57	0.01	16.00	23.00	1.00	6	4	1	1.32	49.00	18	0.84	0.26	?	28.00	11.00	?	8	4	?	1.00	31.00	13	0.46	0.29	0.09	12.00	8.00	6.00	4	5	3	?	1.00	?	27	N	2	51	D	5	5	29	297	SA	N	Y	YZT	Y	FE4	Y	2	1	1	990.00	990.00	?	?	?	?	?	?	3	6.00	24.71	1	4.00	24.07	2	2.00	0.64	0	?	?	0	?	?	7	11.00	4.37	6	10.00	4.24	0	?	?	1	1.00	0.13	0	?	?	11	16.00	13.09	6	10.00	10.17	4	4.00	2.75	0	?	?	1	2.00	0.17
201603	406058901	2010/7/7	遠傳	68	?	?	?	?	?	?	?	?	?	?	?	?	0.48	42.00	11	0.26	0.05	0.15	17.00	4.00	19.00	7	3	1	0.15	20.00	1	0.02	?	0.12	2.00	?	17.00	1	?	1	0.37	30.00	9	0.07	0.00	0.29	9.00	1.00	20.00	6	1	2	1.00	6.00	13.00	68	N	2	26	5	5	5	71	72	SA	N	Y	TW3	Y	FE4	N	-1	1	1	10790.00	10790.00	?	?	?	?	?	?	5	21.00	14.94	2	3.00	2.01	2	16.00	12.70	1	2.00	0.23	0	?	?	4	21.00	23.16	1	1.00	0.18	2	15.00	18.68	1	5.00	4.30	0	?	?	5	19.00	34.56	1	1.00	1.20	3	17.00	31.66	0	?	?	1	1.00	1.70
201603	14987478	2014/3/25	遠傳	24	31090.30	31411165.851563	4456758.468750	477.00	38832.98	52560715.773438	4463710.320313	522.00	40509.03	56815740.757813	5707597.703125	641.00	1.58	137.00	20	1.00	0.05	0.49	71.00	3.00	53.00	12	3	3	3.18	190.00	41	1.95	0.02	0.82	78.00	2.00	73.00	15	2	3	4.28	220.00	45	2.57	0.40	0.88	94.00	11.00	85.00	18	4	8	?	?	1.00	24	N	2	33	D	5	5	3	3220	?	N	Y	TW3	Y	FE4	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	11	42.00	40.82	5	2.00	3.67	6	40.00	37.15	0	?	?	0	?	?	14	83.00	99.28	5	8.00	21.55	4	71.00	73.64	1	?	0.00	4	4.00	4.09	14	68.00	80.22	6	12.00	16.87	7	55.00	59.82	0	?	?	1	1.00	3.53
201603	404899966	2006/11/6	台哥大	113	4279.23	2331488.296875	120845.578125	228.00	2649.63	1912738.078125	76345.554688	103.00	1569.60	990669.960938	57447.617188	137.00	0.68	66.00	6	0.23	0.02	0.26	32.00	1.00	12.00	4	1	3	0.53	54.00	6	0.34	0.00	0.03	35.00	1.00	5.00	4	1	1	0.37	59.00	7	0.27	0.03	0.01	45.00	2.00	2.00	5	2	1	?	?	?	113	N	2	56	D	5	5	71	72	?	N	N	?	Y	TW4	N	-1	3	3	1326.67	0.00	Y	N	N	N	N	N	8	17.00	10.64	1	?	0.00	4	11.00	6.64	0	?	?	3	6.00	4.00	5	12.00	4.88	1	2.00	0.87	2	4.00	1.33	1	1.00	0.13	1	5.00	2.55	7	10.00	3.89	2	2.00	1.00	1	4.00	1.20	0	?	?	4	4.00	1.69
