YM	SUBSCTN_ID	SUBSCTN_START_DT	NP_IN	TENURE	DT1_DATA_RTD_DUR	DT1_DATA_RTD_DWN_PACK	DT1_DATA_RTD_UP_PACK	DT1_DATA_RTD_CNT	DT2_DATA_RTD_DUR	DT2_DATA_RTD_DWN_PACK	DT2_DATA_RTD_UP_PACK	DT2_DATA_RTD_CNT	DT3_DATA_RTD_DUR	DT3_DATA_RTD_DWN_PACK	DT3_DATA_RTD_UP_PACK	DT3_DATA_RTD_CNT	VO1_MIN	VO1_CNT	VO1_PTYCNT	VO1_CHTMIN	VO1_TWMMIN	VO1_FETMIN	VO1_CHTCNT	VO1_TWMCNT	VO1_FETCNT	VO1_CHTPTYCNT	VO1_TWMPTYCNT	VO1_FETPTYCNT	VO2_MIN	VO2_CNT	VO2_PTYCNT	VO2_CHTMIN	VO2_TWMMIN	VO2_FETMIN	VO2_CHTCNT	VO2_TWMCNT	VO2_FETCNT	VO2_CHTPTYCNT	VO2_TWMPTYCNT	VO2_FETPTYCNT	VO3_MIN	VO3_CNT	VO3_PTYCNT	VO3_CHTMIN	VO3_TWMMIN	VO3_FETMIN	VO3_CHTCNT	VO3_TWMCNT	VO3_FETCNT	VO3_CHTPTYCNT	VO3_TWMPTYCNT	VO3_FETPTYCNT	SMS1_CNT	SMS2_CNT	SMS3_CNT	TENURE_MONTH_CNT	PREPAID_IND	GENDER_TYPE_CD	SUBSCTN_AGE	NTW_SERVICE_TYPE_CD	OFFER_SERVICE_TYPE_CD	OFFER_ID	BRANCH_CHANNEL_ID	SC_CHANNEL_ID	AGENT_CHANNEL_ID	MPRO_MEMBER_IND	NP_IN_IND	NP_FROM_CARRIER_CD	NP_OUT_IND	NP_TO_CARRIER_CD	HANDSET_RETN_CONTR_IND	HANDSET_CONTR_EXP_MONTH_CNT	HIST_HANDSET_CONTR_CNT	HIST_HANDSET_PURCHASE_CNT	AVG_HANDSET_PURCHASE_AMT	LAST_HANDSET_PURCHASE_AMT	OFFER_2GTO3G_IND	OFFER_3GTO2G_IND	OFFER_2GTO4G_IND	OFFER_3GTO4G_IND	OFFER_4GTO2G_IND	OFFER_4GTO3G_IND	VB1_TOT_PTYCNT	VB1_TOT_CNT	VB1_TOT_DUR	VB1_TWM_PTYCNT	VB1_TWM_CNT	VB1_TWM_DUR	VB1_FET_PTYCNT	VB1_FET_CNT	VB1_FET_DUR	VB1_VBT_PTYCNT	VB1_VBTCNT	VB1_VBTDUR	VB1_APW_PTYCNT	VB1_APW_CNT	VB1_APW_DUR	VB2_TOT_PTYCNT	VB2_TOT_CNT	VB2_TOT_DUR	VB2_TWM_PTYCNT	VB2_TWM_CNT	VB2_TWM_DUR	VB2_FET_PTYCNT	VB2_FET_CNT	VB2_FET_DUR	VB2_VBT_PTYCNT	VB2_VBTCNT	VB2_VBTDUR	VB2_APW_PTYCNT	VB2_APW_CNT	VB2_APW_DUR	VB3_TOT_PTYCNT	VB3_TOT_CNT	VB3_TOT_DUR	VB3_TWM_PTYCNT	VB3_TWM_CNT	VB3_TWM_DUR	VB3_FET_PTYCNT	VB3_FET_CNT	VB3_FET_DUR	VB3_VBT_PTYCNT	VB3_VBTCNT	VB3_VBTDUR	VB3_APW_PTYCNT	VB3_APW_CNT	VB3_APW_DUR
201603	8687028	2006/12/27	遠傳	112	12305.82	8532348.835938	2961481.179688	224.00	13670.58	13031466.445313	811085.218750	272.00	16850.47	11519646.562500	1108157.093750	268.00	0.18	9.00	6	0.11	0.01	?	3.00	1.00	?	1	1	?	0.63	24.00	8	0.25	0.28	?	9.00	8.00	?	6	2	?	0.69	23.00	15	0.27	0.02	0.03	3.00	2.00	2.00	3	2	1	?	3.00	2.00	112	N	2	27	J	K	A003	2422	264	?	N	Y	TWM	Y	FE4	N	-1	2	3	15096.67	22500.00	Y	Y	N	Y	N	N	3	5.00	3.58	0	?	?	2	2.00	1.20	0	?	?	1	3.00	2.38	2	2.00	0.29	0	?	?	1	1.00	0.17	1	1.00	0.12	0	?	?	4	4.00	2.54	2	2.00	2.02	1	1.00	0.02	1	1.00	0.50	0	?	?
201603	10558817	2009/8/15	遠傳	79	?	?	?	?	?	?	?	?	?	?	?	?	0.08	6.00	3	0.05	?	?	4.00	?	?	2	?	?	0.27	17.00	3	0.06	0.01	0.01	2.00	6.00	2.00	2	1	2	0.08	15.00	6	0.01	0.02	0.00	2.00	5.00	1.00	1	2	1	6.00	9.00	5.00	79	N	2	47	5	5	5	39	?	SA	N	N	?	Y	FE4	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	7	3.00	1.07	4	1.00	0.27	2	2.00	0.80	0	?	?	1	?	0.00	10	9.00	4.67	2	3.00	0.97	6	6.00	3.70	0	?	?	2	?	0.00	6	4.00	2.40	2	?	0.00	4	4.00	2.40	0	?	?	0	?	?
201603	13770702	2013/3/14	遠傳	36	30955.15	11163255.664063	5455790.335938	235.00	36964.18	41128884.914063	4136209.789063	273.00	39089.17	8579869.039063	1890515.968750	277.00	0.01	1.00	1	?	?	?	?	?	?	?	?	?	0.09	5.00	1	0.00	0.05	0.04	1.00	2.00	2.00	1	1	1	0.01	1.00	1	?	?	?	?	?	?	?	?	?	1.00	1.00	3.00	36	N	1	46	J	K	A004	22	27a	?	N	N	?	Y	FE4	N	-1	1	1	6990.00	6990.00	N	N	N	Y	N	N	1	2.00	1.10	0	?	?	1	2.00	1.10	0	?	?	0	?	?	6	11.00	20.73	4	7.00	17.88	2	4.00	2.85	0	?	?	0	?	?	2	4.00	18.55	1	1.00	2.43	1	3.00	16.12	0	?	?	0	?	?
201603	205465202	2008/5/13	遠傳	95	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	95	Y	2	49	I	9	5	41	42	SA	N	N	?	Y	FE4	N	-1	0	0	0.00	0.00	Y	Y	N	N	N	N	3	7.00	1.70	2	4.00	1.30	1	3.00	0.40	0	?	?	0	?	?	4	15.00	9.69	1	11.00	8.48	3	4.00	1.21	0	?	?	0	?	?	6	16.00	3.88	3	13.00	3.36	2	2.00	0.50	0	?	?	1	1.00	0.02
201603	407584140	2014/9/23	台灣之星	18	14780.07	170178669.460938	32961417.789063	102.00	17475.43	235882075.890625	25750760.414063	130.00	14435.05	183210888.992188	28163810.976563	117.00	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1.00	?	18	N	1	43	J	K	A004	71	73	?	N	Y	VBT	Y	TSC	Y	5	1	1	2990.00	2990.00	N	N	N	Y	N	N	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
201603	12225180	2011/8/15	台哥大	55	14731.72	5373050.710938	0.000000	133.00	27156.17	5304894.367188	0.000000	188.00	19835.25	3148506.875000	483272.890625	327.00	0.25	20.00	2	?	?	?	?	?	?	?	?	?	0.39	40.00	1	?	0.01	?	?	1.00	?	?	1	?	0.27	34.00	1	0.01	?	?	2.00	?	?	1	?	?	?	?	?	55	N	2	39	J	K	A001	22	2235	?	N	Y	TWM	Y	TW4	N	-1	0	0	0.00	0.00	N	N	N	Y	N	N	2	2.00	2.81	1	1.00	2.78	0	?	?	1	1.00	0.03	0	?	?	2	3.00	1.40	2	3.00	1.40	0	?	?	0	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
201603	401934546	2001/1/16	遠傳	184	41459.00	50866934.828125	2650872.320313	856.00	44402.78	131454608.968750	3401132.171875	948.00	44076.92	172824833.117188	3896598.546875	461.00	1.34	84.00	12	?	0.00	1.19	?	1.00	72.00	?	1	6	1.76	102.00	16	0.01	0.17	1.07	1.00	3.00	77.00	1	1	11	1.77	99.00	13	?	0.23	1.29	?	2.00	86.00	?	2	6	1.00	3.00	?	184	N	2	37	D	5	T	6	?	?	N	N	?	Y	FE4	N	-1	4	4	5240.00	6990.00	Y	Y	N	N	N	N	11	126.00	157.93	1	2.00	0.38	8	112.00	144.60	1	10.00	9.75	1	2.00	3.20	10	138.00	200.68	1	4.00	7.07	8	130.00	179.96	0	?	?	1	4.00	13.65	9	145.00	197.80	2	5.00	27.45	6	140.00	170.35	1	?	0.00	0	?	?
201603	15132476	2014/5/6	遠傳	23	6117.18	8089155.257813	741540.929688	308.00	5445.97	10629402.890625	902447.406250	318.00	6520.92	10551122.640625	934624.203125	401.00	0.50	53.00	16	0.36	0.02	0.06	27.00	4.00	11.00	8	2	5	0.57	56.00	19	0.45	?	0.05	38.00	?	5.00	16	?	2	1.08	61.00	23	0.70	0.04	0.18	34.00	1.00	12.00	11	1	5	?	?	?	23	N	2	47	D	5	5	3	?	SC	N	Y	TW3	Y	FE4	Y	7	1	1	0.00	0.00	?	?	?	?	?	?	13	23.00	10.10	4	8.00	2.12	9	15.00	7.98	0	?	?	0	?	?	13	17.00	11.83	2	3.00	1.28	9	11.00	7.88	1	1.00	0.02	1	2.00	2.65	6	12.00	7.04	0	?	?	4	8.00	4.91	0	?	?	2	4.00	2.13
201603	9278915	2007/11/20	遠傳	101	0.22	220.882813	107.843750	1.00	?	?	?	?	?	?	?	?	0.21	9.00	6	0.14	?	0.01	5.00	?	1.00	3	?	1	0.35	15.00	7	0.26	0.03	0.05	8.00	2.00	4.00	4	1	2	0.42	8.00	3	0.34	0.05	0.03	3.00	3.00	2.00	2	2	1	?	?	?	101	N	1	30	D	5	5	29	297	SA	N	Y	FET	Y	FE4	N	-1	1	1	10190.00	10190.00	?	?	?	?	?	?	2	2.00	4.68	0	?	?	2	2.00	4.68	0	?	?	0	?	?	2	3.00	2.32	1	2.00	2.12	0	?	?	1	1.00	0.20	0	?	?	2	5.00	9.53	1	3.00	8.08	1	2.00	1.45	0	?	?	0	?	?
201603	404291995	2005/2/27	遠傳	134	22771.73	4448273.773438	537186.468750	239.00	11386.08	2096613.085938	1115451.070313	166.00	13895.35	5312373.171875	1196729.781250	232.00	2.13	45.00	19	1.49	0.04	0.16	23.00	1.00	7.00	9	1	3	1.29	59.00	23	0.80	0.04	0.15	20.00	4.00	6.00	7	3	3	2.39	79.00	14	1.38	0.41	0.22	33.00	15.00	5.00	11	2	2	1.00	?	2.00	134	N	1	35	J	K	A003	6	?	?	N	N	?	Y	FE4	Y	5	4	5	2932.00	5990.00	Y	Y	N	Y	N	N	5	10.00	24.26	0	?	?	3	8.00	22.88	1	1.00	0.88	1	1.00	0.50	6	23.00	40.94	0	?	?	4	17.00	35.57	2	6.00	5.37	0	?	?	3	10.00	36.45	0	?	?	1	8.00	32.27	2	2.00	4.18	0	?	?
201603	207136064	2013/10/7	遠傳	30	498.20	158296.390625	33915.242188	7.00	482.63	5487256.710938	129448.210938	29.00	64.87	556989.101563	19852.257813	6.00	1.44	127.00	34	0.92	0.01	0.08	78.00	1.00	6.00	27	1	2	2.81	184.00	34	1.66	0.30	0.36	105.00	18.00	7.00	25	5	3	2.61	183.00	38	1.95	0.03	0.02	124.00	3.00	2.00	28	2	1	?	?	?	30	N	1	55	D	5	T	41	42	SC	N	Y	TW3	Y	YZT	N	0	1	1	0.00	0.00	?	?	?	?	?	?	7	14.00	11.25	2	8.00	6.53	4	5.00	4.67	0	?	?	1	1.00	0.05	12	31.00	42.79	3	18.00	23.75	6	10.00	17.07	1	1.00	0.20	2	2.00	1.77	14	31.00	23.05	4	13.00	10.86	5	10.00	4.60	2	5.00	4.37	3	3.00	3.22
201603	14766066	2014/1/21	遠傳	25	20653.62	10516662.507813	817860.398438	207.00	17782.27	14017064.343750	1081894.898438	268.00	25117.27	11973206.437500	1206975.117188	297.00	0.44	42.00	8	0.34	0.02	0.07	34.00	1.00	5.00	5	1	2	1.05	49.00	13	0.82	0.06	0.03	33.00	3.00	5.00	8	2	3	0.65	63.00	15	0.54	0.01	0.06	50.00	1.00	6.00	8	1	2	?	?	?	25	N	1	42	D	5	5	29	295	SA	N	Y	YZT	Y	FE4	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	5	6.00	4.12	2	2.00	0.92	3	4.00	3.20	0	?	?	0	?	?	8	12.00	8.00	4	5.00	3.20	3	6.00	4.58	1	1.00	0.22	0	?	?	4	6.00	3.16	1	1.00	1.37	2	3.00	1.47	0	?	?	1	2.00	0.32
201603	3197841	2000/9/22	遠傳	188	?	?	?	?	?	?	?	?	?	?	?	?	2.08	114.00	3	?	0.54	0.08	?	88.00	15.00	?	1	2	1.18	70.00	5	?	0.61	0.50	?	50.00	16.00	?	2	2	0.63	28.00	3	0.03	0.19	0.40	5.00	15.00	7.00	2	1	1	?	?	?	188	N	1	48	5	5	5	29	297	?	N	N	?	Y	YZT	N	-1	2	2	1340.00	0.00	Y	N	N	N	N	N	4	6.00	0.78	1	4.00	0.63	3	2.00	0.15	0	?	?	0	?	?	5	1.00	0.03	1	?	0.00	3	?	0.00	0	?	?	1	1.00	0.03	3	1.00	3.53	2	?	0.00	1	1.00	3.53	0	?	?	0	?	?
201603	9279220	2007/11/23	亞太	101	16014.12	4724006.085938	496613.406250	610.00	15977.72	4153809.875000	423825.882813	811.00	15189.48	9381892.796875	581609.781250	292.00	0.25	23.00	8	0.01	0.11	0.02	1.00	7.00	1.00	1	4	1	0.08	8.00	4	?	0.03	?	?	1.00	?	?	1	?	0.04	7.00	3	0.01	0.01	?	1.00	2.00	?	1	2	?	?	?	?	101	N	2	47	D	5	5	2422	?	?	N	Y	FET	Y	AP4	N	-1	1	1	6799.00	6799.00	Y	N	N	N	N	N	3	5.00	3.50	2	5.00	3.50	0	?	?	0	?	?	1	?	0.00	4	4.00	1.91	2	2.00	1.01	1	1.00	0.52	0	?	?	1	1.00	0.38	2	2.00	0.78	1	1.00	0.38	0	?	?	0	?	?	1	1.00	0.40
201603	407188329	2013/10/15	亞太	29	32219.08	232820249.132813	9881585.492188	208.00	44019.20	846775191.539063	24514180.476563	320.00	43331.25	657328754.851563	52154023.828125	301.00	0.84	35.00	13	0.01	?	?	1.00	?	?	1	?	?	0.33	22.00	4	0.05	0.00	?	8.00	1.00	?	1	1	?	0.87	32.00	10	0.44	?	?	10.00	?	?	4	?	?	21.00	38.00	9.00	29	N	1	30	D	5	X	5	5201	?	N	Y	VBT	Y	AP4	N	-1	3	3	15926.67	11590.00	N	N	N	Y	N	Y	1	1.00	1.10	0	?	?	1	1.00	1.10	0	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
201603	17672310	2016/2/14	遠傳	0	14587.62	20400606.226563	0.000000	137.00	?	?	?	?	?	?	?	?	0.15	9.00	3	0.05	0.01	0.03	2.00	1.00	4.00	2	1	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	N	2	49	J	K	A002	22	25a	?	N	Y	YZT	Y	FE4	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	4	7.00	5.72	1	1.00	0.18	2	5.00	4.71	0	?	?	1	1.00	0.83	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
201603	13062731	2012/7/17	遠傳	44	39075.45	35638128.046875	223488.546875	207.00	44354.48	47317015.859375	3423487.414063	190.00	37293.40	57402684.515625	2422766.468750	174.00	4.25	102.00	30	0.50	0.01	0.09	13.00	2.00	7.00	7	1	3	4.20	111.00	29	0.36	?	0.12	11.00	?	7.00	7	?	2	2.73	77.00	21	0.26	0.19	0.06	6.00	2.00	7.00	6	2	2	?	?	?	44	N	1	44	J	K	A006	22	2235	?	N	Y	YZT	Y	FE4	N	-1	1	1	0.00	0.00	N	N	N	Y	N	N	6	10.00	4.36	2	3.00	1.56	3	5.00	1.93	1	2.00	0.87	0	?	?	6	8.00	8.42	2	3.00	4.90	3	4.00	2.40	0	?	?	1	1.00	1.12	3	4.00	1.85	0	?	?	2	2.00	0.52	1	2.00	1.33	0	?	?
201603	17703065	2016/2/21	台哥大	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	Y	1	57	9	9	5	3	3k	?	N	N	?	Y	TW4	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
201603	4026656	2001/7/10	台哥大	179	10726.25	7203049.312500	847850.773438	441.00	9180.42	5805069.968750	893686.625000	492.00	9549.62	6100759.539063	993587.531250	571.00	?	?	?	?	?	?	?	?	?	?	?	?	0.19	6.00	4	0.04	0.00	?	3.00	1.00	?	3	1	?	0.08	2.00	1	?	?	0.01	?	?	1.00	?	?	1	?	?	?	179	N	1	40	D	5	5	22	291	?	N	N	?	Y	TW4	N	-1	3	2	995.00	0.00	Y	N	N	N	N	N	1	1.00	0.15	1	1.00	0.15	0	?	?	0	?	?	0	?	?	1	1.00	0.58	1	1.00	0.58	0	?	?	0	?	?	0	?	?	1	1.00	2.65	0	?	?	1	1.00	2.65	0	?	?	0	?	?
201603	404071072	2004/9/1	台哥大	140	7385.78	7191357.265625	45323.195313	305.00	10695.63	16269532.304688	409757.757813	265.00	11967.35	10638820.164063	11050.781250	367.00	0.41	15.00	7	0.29	0.09	0.03	9.00	2.00	3.00	4	2	2	1.13	15.00	3	1.07	0.00	?	10.00	1.00	?	2	1	?	1.13	20.00	5	1.00	?	0.06	11.00	?	2.00	4	?	1	6.00	3.00	?	140	N	2	58	J	K	A003	71	73	?	N	N	?	Y	TW4	N	-1	5	5	4550.00	6490.00	Y	N	N	Y	N	N	9	10.00	15.86	3	3.00	7.57	4	5.00	6.43	2	2.00	1.86	0	?	?	5	5.00	5.36	2	2.00	0.88	3	3.00	4.48	0	?	?	0	?	?	9	16.00	31.65	2	4.00	16.88	4	6.00	6.42	2	5.00	8.25	1	1.00	0.10
201603	205195998	2007/6/22	台哥大	106	9959.40	42511485.343750	0.000000	159.00	7390.50	47117649.445313	0.000000	141.00	5817.15	43802392.437500	0.000000	116.00	0.22	14.00	6	0.11	0.01	0.06	9.00	1.00	1.00	3	1	1	0.53	26.00	14	0.26	0.07	0.02	11.00	1.00	2.00	3	1	2	0.39	31.00	4	0.31	0.02	0.01	23.00	1.00	1.00	3	1	1	?	?	?	106	N	2	22	J	K	A004	41	43	?	N	N	?	Y	TW4	N	-1	3	3	6323.33	9990.00	Y	N	N	Y	N	N	1	1.00	1.03	0	?	?	1	1.00	1.03	0	?	?	0	?	?	3	4.00	27.22	2	2.00	21.02	1	2.00	6.20	0	?	?	0	?	?	2	3.00	0.78	0	?	?	1	2.00	0.53	0	?	?	1	1.00	0.25
201603	407165283	2013/9/23	遠傳	30	?	?	?	?	?	?	?	?	?	?	?	?	0.14	7.00	4	0.02	0.12	?	2.00	5.00	?	1	3	?	0.18	8.00	4	0.04	?	?	2.00	?	?	1	?	?	0.36	12.00	5	0.24	0.10	?	5.00	4.00	?	2	2	?	?	?	?	30	N	2	66	5	5	5	8	8878	?	N	N	?	Y	YZT	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	3	4.00	2.05	2	3.00	1.05	1	1.00	1.00	0	?	?	0	?	?	1	?	0.00	0	?	?	0	?	?	0	?	?	1	?	0.00	2	?	0.00	1	?	0.00	0	?	?	1	?	0.00	0	?	?
201603	11910878	2011/4/12	台哥大	60	?	?	?	?	?	?	?	?	?	?	?	?	0.40	31.00	8	0.11	0.04	0.05	12.00	1.00	5.00	4	1	3	0.26	15.00	7	0.08	0.02	0.13	4.00	1.00	6.00	4	1	4	0.13	12.00	7	0.05	?	0.05	3.00	?	5.00	3	?	3	8.00	11.00	1.00	60	N	2	48	5	5	5	22	289	?	N	Y	VBT	Y	TW4	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	6	20.00	56.31	1	2.00	0.27	4	18.00	56.04	0	?	?	0	?	?	8	14.00	8.84	3	8.00	6.77	5	6.00	2.07	0	?	?	0	?	?	8	20.00	16.25	2	4.00	2.02	5	16.00	14.23	0	?	?	0	?	?
201603	9784467	2008/8/29	遠傳	91	37594.62	2371709.742188	886789.578125	227.00	35809.80	1538824.820313	1675043.468750	363.00	40010.80	4763684.914063	3063928.156250	366.00	1.19	62.00	34	0.46	0.13	0.12	26.00	4.00	11.00	12	3	7	1.11	64.00	30	0.41	0.07	0.21	21.00	9.00	17.00	3	5	7	0.92	98.00	29	0.31	0.19	0.29	29.00	17.00	37.00	9	6	11	?	?	1.00	91	N	1	34	J	K	A003	29	292	SA	N	Y	TW3	Y	FE4	N	-1	2	2	4450.00	8900.00	N	N	N	Y	N	N	10	18.00	13.61	2	3.00	3.87	7	14.00	9.11	0	?	?	1	1.00	0.63	19	43.00	45.09	8	13.00	22.75	9	28.00	19.46	1	1.00	0.05	0	?	?	36	119.00	93.72	15	46.00	33.38	15	64.00	54.74	1	4.00	2.10	5	5.00	3.50
201603	403836114	2004/3/4	遠傳	146	33141.58	9808230.523438	0.000000	187.00	39856.95	6296980.625000	0.000000	205.00	43880.35	10258292.851563	0.000000	210.00	0.82	25.00	6	0.14	?	0.55	3.00	?	19.00	2	?	4	0.49	26.00	6	?	?	0.45	?	?	24.00	?	?	4	0.20	12.00	6	0.02	?	0.17	3.00	?	8.00	3	?	2	7.00	1.00	1.00	146	N	2	27	J	K	A003	71	77	PE	N	N	?	Y	FE4	N	-1	2	2	0.00	0.00	Y	N	N	Y	N	N	5	32.00	40.78	0	?	?	4	31.00	29.51	0	?	?	1	1.00	11.27	5	21.00	16.26	0	?	?	4	20.00	15.54	0	?	?	1	1.00	0.72	4	16.00	20.72	0	?	?	4	16.00	20.72	0	?	?	0	?	?
201603	8764672	2007/2/5	台哥大	110	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	110	Y	2	58	9	9	5	3	34	?	N	N	?	Y	TW4	N	-1	2	2	4490.00	2990.00	Y	N	N	N	N	N	9	11.00	10.25	3	4.00	1.11	5	5.00	3.21	0	?	?	1	2.00	5.93	8	10.00	11.56	2	5.00	7.50	4	3.00	0.93	1	1.00	0.55	1	1.00	2.58	11	14.00	18.17	3	5.00	12.88	5	6.00	4.73	3	3.00	0.56	0	?	?
201603	12140174	2011/7/9	遠傳	56	1883.77	9099723.937500	1162562.679688	374.00	1322.85	4974129.625000	924307.031250	317.00	2207.13	7975924.367188	3611115.101563	340.00	1.79	37.00	10	1.72	0.02	0.03	34.00	1.00	1.00	9	1	1	5.26	69.00	14	4.93	0.04	0.06	49.00	3.00	3.00	11	3	2	6.60	36.00	10	6.53	0.02	?	29.00	2.00	?	7	2	?	?	5.00	1.00	56	N	2	33	D	5	5	35	?	SA	N	N	?	Y	FE4	N	-1	2	2	3740.00	4490.00	?	?	?	?	?	?	6	7.00	5.51	2	3.00	1.68	3	3.00	0.76	0	?	?	1	1.00	3.07	5	9.00	12.11	2	2.00	0.65	1	3.00	2.80	0	?	?	2	4.00	8.66	3	4.00	21.30	2	3.00	6.23	0	?	?	0	?	?	1	1.00	15.07
201603	205677514	2009/2/8	亞太	86	6747.92	4311216.625000	453772.992188	207.00	8550.12	10998581.765625	939978.406250	245.00	7863.90	5896123.070313	1713551.632813	273.00	2.58	78.00	13	2.37	?	?	68.00	?	?	7	?	?	3.33	83.00	10	3.10	0.04	?	70.00	1.00	?	4	1	?	5.08	69.00	15	4.66	?	0.21	56.00	?	3.00	6	?	1	?	?	?	86	N	1	23	D	5	S	55	?	SC	N	N	?	Y	AP4	N	-1	3	3	1396.33	1190.00	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2	4.00	2.55	1	3.00	1.90	1	1.00	0.65	0	?	?	0	?	?	2	2.00	0.65	0	?	?	2	2.00	0.65	0	?	?	0	?	?
201603	402101098	2001/4/13	台哥大	181	42093.35	263749817.640625	10277250.859375	233.00	44636.67	143701020.882813	8301975.382813	207.00	44518.17	216960717.601563	11163998.234375	227.00	0.15	5.00	3	0.01	?	0.04	1.00	?	2.00	1	?	1	0.14	11.00	1	?	?	?	?	?	?	?	?	?	0.32	18.00	6	0.11	?	?	6.00	?	?	2	?	?	?	?	?	181	N	2	32	J	K	A005	71	73	?	N	N	?	Y	TW4	N	0	7	5	8336.00	13500.00	N	N	N	Y	N	N	1	3.00	7.87	0	?	?	1	3.00	7.87	0	?	?	0	?	?	4	4.00	1.58	0	?	?	2	2.00	1.25	1	1.00	0.10	1	1.00	0.23	2	4.00	1.05	1	1.00	0.38	0	?	?	0	?	?	1	3.00	0.67
201603	403026622	2002/11/4	台哥大	162	0.20	388.226563	270.757813	2.00	43.53	13853.078125	2955.039063	8.00	?	?	?	?	1.06	29.00	7	0.98	0.02	?	22.00	1.00	?	4	1	?	0.95	22.00	3	0.78	0.13	?	16.00	2.00	?	2	1	?	0.67	20.00	1	0.65	?	?	17.00	?	?	1	?	?	?	?	?	162	N	2	47	D	5	5	71	77	?	N	N	?	Y	TW3	N	-1	3	2	1395.00	0.00	Y	N	N	N	N	N	1	1.00	0.03	0	?	?	0	?	?	0	?	?	1	1.00	0.03	1	1.00	4.13	1	1.00	4.13	0	?	?	0	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
201603	16745893	2015/7/8	台哥大	8	23546.97	25404706.773438	0.000000	254.00	21072.40	10026510.421875	0.000000	158.00	7019.65	7881783.640625	0.000000	81.00	1.36	68.00	16	0.02	0.34	0.55	5.00	17.00	24.00	4	3	4	0.77	36.00	16	0.14	0.09	0.34	11.00	6.00	12.00	6	2	4	0.94	56.00	11	0.34	0.03	0.06	37.00	3.00	6.00	3	2	3	3.00	2.00	?	8	N	1	22	J	K	A001	3	?	SA	N	N	?	Y	TW4	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	4	23.00	21.43	1	12.00	10.68	3	11.00	10.75	0	?	?	0	?	?	8	23.00	18.43	2	12.00	9.73	4	9.00	6.08	2	2.00	2.62	0	?	?	8	22.00	14.63	4	11.00	6.28	3	10.00	4.05	0	?	?	1	1.00	4.30
201603	407126603	2013/8/22	遠傳	31	23720.53	10654304.171875	0.000000	153.00	28891.97	15369930.437500	0.000000	225.00	28701.73	13597632.570313	0.000000	198.00	1.94	94.00	28	1.55	0.04	?	75.00	3.00	?	15	1	?	3.06	141.00	38	2.45	0.11	0.02	115.00	6.00	1.00	21	5	1	2.28	96.00	23	1.83	0.01	?	80.00	1.00	?	16	1	?	?	?	?	31	N	1	35	J	K	A003	71	72	SS	N	Y	APW	Y	YZT	N	-1	1	1	0.00	0.00	N	N	N	Y	N	N	1	1.00	0.98	1	1.00	0.98	0	?	?	0	?	?	0	?	?	8	10.00	17.04	2	3.00	3.60	1	1.00	1.08	0	?	?	5	6.00	12.36	5	6.00	8.60	1	1.00	2.32	0	?	?	0	?	?	4	5.00	6.28
